Code,Name,Market,Type
2383,台光電,TWSE,Stock
2385,群光,TWSE,Stock
2387,精元,TWSE,Stock
2388,威盛,TWSE,Stock
2390,云辰,TWSE,Stock
2392,正崴,TWSE,Stock
2393,億光,TWSE,Stock
2395,研華,TWSE,Stock
2397,友通,TWSE,Stock
2399,映泰,TWSE,Stock
2401,凌陽,TWSE,Stock
2402,毅嘉,TWSE,Stock
2404,漢唐,TWSE,Stock
2405,輔信,TWSE,Stock
2406,國碩,TWSE,Stock
2408,南亞科,TWSE,Stock
2409,友達,TWSE,Stock
2412,中華電,TWSE,Stock
2413,環科,TWSE,Stock
2414,精技,TWSE,Stock
2415,錩新,TWSE,Stock
2417,圓剛,TWSE,Stock
2419,仲琦,TWSE,Stock
2420,新巨,TWSE,Stock
2421,建準,TWSE,Stock
2423,固緯,TWSE,Stock
2424,隴華,TWSE,Stock
2425,承啟,TWSE,Stock
2426,鼎元,TWSE,Stock
2427,三商電,TWSE,Stock
2428,興勤,TWSE,Stock
2429,銘旺科,TWSE,Stock
2430,燦坤,TWSE,Stock
2431,聯昌,TWSE,Stock
2432,倚天酷碁-創,TWSE,Stock
2433,互盛電,TWSE,Stock
2434,統懋,TWSE,Stock
2436,偉詮電,TWSE,Stock
2438,翔耀,TWSE,Stock
2439,美律,TWSE,Stock
2440,太空梭,TWSE,Stock
2441,超豐,TWSE,Stock
2442,新美齊,TWSE,Stock
2444,兆勁,TWSE,Stock
2449,京元電子,TWSE,Stock
2450,神腦,TWSE,Stock
2451,創見,TWSE,Stock
2453,凌群,TWSE,Stock
2454,聯發科,TWSE,Stock
2455,全新,TWSE,Stock
2457,飛宏,TWSE,Stock
2458,義隆,TWSE,Stock
2459,敦吉,TWSE,Stock
2460,建通,TWSE,Stock
2461,光群雷,TWSE,Stock
2462,良得電,TWSE,Stock
2464,盟立,TWSE,Stock
2465,麗臺,TWSE,Stock
2466,冠西電,TWSE,Stock
2467,志聖,TWSE,Stock
2468,華經,TWSE,Stock
2471,資通,TWSE,Stock
2472,立隆電,TWSE,Stock
2474,可成,TWSE,Stock
2476,鉅祥,TWSE,Stock
2477,美隆電,TWSE,Stock
2478,大毅,TWSE,Stock
2480,敦陽科,TWSE,Stock
2481,強茂,TWSE,Stock
2482,連宇,TWSE,Stock
2483,百容,TWSE,Stock
2484,希華,TWSE,Stock
2485,兆赫,TWSE,Stock
2486,一詮,TWSE,Stock
2488,漢平,TWSE,Stock
2489,瑞軒,TWSE,Stock
2491,吉祥全,TWSE,Stock
2492,華新科,TWSE,Stock
2493,揚博,TWSE,Stock
2495,普安,TWSE,Stock
2496,卓越,TWSE,Stock
2497,怡利電,TWSE,Stock
2498,宏達電,TWSE,Stock
2501,國建,TWSE,Stock
2504,國產,TWSE,Stock
2505,國揚,TWSE,Stock
2506,太設,TWSE,Stock
2509,全坤建,TWSE,Stock
2511,太子,TWSE,Stock
2514,龍邦,TWSE,Stock
2515,中工,TWSE,Stock
2516,新建,TWSE,Stock
2520,冠德,TWSE,Stock
2524,京城,TWSE,Stock
2527,宏璟,TWSE,Stock
2528,皇普,TWSE,Stock
2530,華建,TWSE,Stock
2534,宏盛,TWSE,Stock
2535,達欣工,TWSE,Stock
2536,宏普,TWSE,Stock
2537,聯上發,TWSE,Stock
2538,基泰,TWSE,Stock
2539,櫻花建,TWSE,Stock
2540,愛山林,TWSE,Stock
2542,興富發,TWSE,Stock
2543,皇昌,TWSE,Stock
2545,皇翔,TWSE,Stock
2546,根基,TWSE,Stock
2547,日勝生,TWSE,Stock
2548,華固,TWSE,Stock
2597,潤弘,TWSE,Stock
2601,益航,TWSE,Stock
2603,長榮,TWSE,Stock
2605,新興,TWSE,Stock
2606,裕民,TWSE,Stock
2607,榮運,TWSE,Stock
2608,嘉里大榮,TWSE,Stock
2609,陽明,TWSE,Stock
2610,華航,TWSE,Stock
2611,志信,TWSE,Stock
2612,中航,TWSE,Stock
2613,中櫃,TWSE,Stock
2614,東森,TWSE,Stock
2615,萬海,TWSE,Stock
2616,山隆,TWSE,Stock
2617,台航,TWSE,Stock
2618,長榮航,TWSE,Stock
2630,亞航,TWSE,Stock
2633,台灣高鐵,TWSE,Stock
2634,漢翔,TWSE,Stock
